,index,Home Win,Home Loss,Home Draw,Home GF,Home GA,Home GD,Home Points,Away Win,Away Loss,Away Draw,Away GF,Away GA,Away GD,Away Points,Win,Loss,Draw,GF,GA,GD,Points,Rank
0,Manchester United FC,16,1,4,43,13,30,50,12,3,2,25,11,14,40,28,4,6,68,24,44,90,1
1,Liverpool FC,12,0,4,41,13,28,43,13,2,7,36,14,22,43,25,2,11,77,27,50,86,2
2,Chelsea FC,11,2,2,33,12,21,39,14,3,6,35,12,23,44,25,5,8,68,24,44,83,3
3,Arsenal FC,11,3,7,31,16,15,38,9,3,5,37,21,16,34,20,6,12,68,37,31,72,4
4,Everton FC,8,5,6,31,20,11,30,9,4,6,24,17,7,33,17,9,12,55,37,18,63,5
5,Aston Villa FC,7,3,2,27,21,6,30,10,7,9,27,27,0,32,17,10,11,54,48,6,62,6
6,Fulham FC,11,5,8,28,16,12,36,3,8,3,11,18,-7,17,14,13,11,39,34,5,53,7
7,Tottenham Hotspur FC,10,4,4,21,10,11,35,4,11,5,24,35,-11,16,14,15,9,45,45,0,51,8
8,West Ham United FC,9,8,7,23,22,1,29,5,7,2,19,23,-4,22,14,15,9,42,45,-3,51,9
9,Manchester City FC,13,6,5,40,18,22,39,2,12,0,18,32,-14,11,15,18,5,58,50,8,50,10
10,Wigan Athletic FC,8,6,4,17,18,-1,29,4,11,5,17,27,-10,16,12,17,9,34,45,-11,45,11
11,Stoke City FC,10,4,4,22,15,7,35,2,13,5,16,40,-24,10,12,17,9,38,55,-17,45,12
12,Bolton Wanderers FC,7,7,3,21,21,0,26,4,12,5,20,32,-12,15,11,19,8,41,53,-12,41,13
13,Portsmouth FC,8,8,8,26,29,-3,27,2,9,3,12,28,-16,14,10,17,11,38,57,-19,41,14
14,Blackburn Rovers FC,6,6,4,22,23,-1,25,4,11,7,18,37,-19,16,10,17,11,40,60,-20,41,15
15,Sunderland AFC,6,10,6,21,25,-4,21,3,10,3,13,29,-16,15,9,20,9,34,54,-20,36,16
16,Hull City AFC,3,11,6,18,36,-18,14,5,8,5,21,28,-7,21,8,19,11,39,64,-25,35,17
17,Newcastle United FC,5,7,6,24,29,-5,22,2,11,7,16,30,-14,12,7,18,13,40,59,-19,34,18
18,Middlesbrough FC,5,5,2,17,20,-3,24,2,15,9,11,37,-26,8,7,20,11,28,57,-29,32,19
19,West Bromwich Albion FC,7,9,5,26,33,-7,24,1,13,3,10,34,-24,8,8,22,8,36,67,-31,32,20
