,index,Home Win,Home Loss,Home Draw,Home GF,Home GA,Home GD,Home Points,Away Win,Away Loss,Away Draw,Away GF,Away GA,Away GD,Away Points,Win,Loss,Draw,GF,GA,GD,Points,Rank
0,Manchester City FC,18,0,4,55,12,43,55,10,5,1,38,17,21,34,28,5,5,93,29,64,89,1
1,Manchester United FC,15,2,3,52,19,33,47,13,3,2,37,14,23,42,28,5,5,89,33,56,89,2
2,Arsenal FC,12,3,3,39,17,22,40,9,7,4,35,32,3,30,21,10,7,74,49,25,70,3
3,Tottenham Hotspur FC,13,3,6,39,17,22,42,7,6,3,27,24,3,27,20,9,9,66,41,25,69,4
4,Newcastle United FC,11,3,3,29,17,12,38,8,8,5,27,34,-7,27,19,11,8,56,51,5,65,5
5,Chelsea FC,12,4,7,41,24,17,39,6,6,3,24,22,2,25,18,10,10,65,46,19,64,6
6,Everton FC,10,6,8,28,15,13,33,5,6,3,22,25,-3,23,15,12,11,50,40,10,56,7
7,Liverpool FC,6,4,1,24,16,8,27,8,10,9,23,24,-1,25,14,14,10,47,40,7,52,8
8,Fulham FC,10,4,5,36,26,10,35,4,10,5,12,25,-13,17,14,14,10,48,51,-3,52,9
9,West Bromwich Albion FC,6,10,5,21,22,-1,21,7,7,3,24,30,-6,26,13,17,8,45,52,-7,47,10
10,Swansea City AFC,8,4,4,27,18,9,31,4,11,7,17,33,-16,16,12,15,11,44,51,-7,47,11
11,Norwich City FC,7,6,5,28,30,-2,27,5,9,6,24,36,-12,20,12,15,11,52,66,-14,47,12
12,Sunderland AFC,7,5,5,26,17,9,28,4,10,7,19,29,-10,17,11,15,12,45,46,-1,45,13
13,Stoke City FC,7,4,4,25,20,5,29,4,11,8,11,33,-22,16,11,15,12,36,53,-17,45,14
14,Wigan Athletic FC,5,7,3,22,27,-5,22,6,10,7,20,35,-15,21,11,17,10,42,62,-20,43,15
15,Aston Villa FC,4,8,10,20,25,-5,19,3,6,7,17,28,-11,19,7,14,17,37,53,-16,38,16
16,Queens Park Rangers FC,7,7,2,24,25,-1,26,3,14,5,19,41,-22,11,10,21,7,43,66,-23,37,17
17,Bolton Wanderers FC,4,11,2,23,39,-16,16,6,11,4,23,38,-15,20,10,22,6,46,77,-31,36,18
18,Blackburn Rovers FC,6,12,6,26,33,-7,19,2,11,1,22,45,-23,12,8,23,7,48,78,-30,31,19
19,Wolverhampton Wanderers FC,3,13,7,19,43,-24,12,2,10,3,21,39,-18,13,5,23,10,40,82,-42,25,20
