,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2015,19,34,-28,39,67,9,7,22,24.25,5040000.0,1260000.0,26.40,25790000.0,2580000.0,26.00,25560000.0,1830000.0,24.92,36990000.0,2850000.0,/norwich-city/startseite/verein/1123/saison_id/2015,42800000.0,19340000.0,26972
1,2013,18,33,-34,28,62,8,9,21,31.00,6080000.0,2029999.9999999998,25.50,23400000.0,2340000.0,26.33,25650000.0,2850000.0,23.40,31950000.0,3200000.0,/norwich-city/startseite/verein/1123/saison_id/2013,27050000.0,4350000.0,26805
2,2012,11,44,-17,41,58,10,14,14,23.80,6530000.0,1310000.0,26.11,21960000.0,2440000.0,24.82,18450000.0,1680000.0,24.36,16880000.0,1530000.0,/norwich-city/startseite/verein/1123/saison_id/2012,9970000.0,342000.0,26672
3,2011,12,47,-14,52,66,12,11,15,20.67,810000.0,270000.0,24.50,9250000.0,925000.0,24.89,5830000.0,648000.0,25.57,4370000.0,624000.0,/norwich-city/startseite/verein/1123/saison_id/2011,13730000.0,450000.0,26606
