,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,11,50,-7,52,59,14,8,16,29.50,4950000.0,1240000.0,29.09,39600000.0,3600000.0,25.63,77850000.0,9730000.0,25.00,52650000.0,8780000.0,/fc-watford/startseite/verein/1010/saison_id/2018,27090000.0,46660000.0,20016
1,2017,14,41,-20,44,64,11,8,19,29.75,7430000.0,1860000.0,27.23,35330000.0,2720000.0,24.78,55800000.0,6200000.0,23.64,52020000.0,4730000.0,/fc-watford/startseite/verein/1010/saison_id/2017,64260000.00000001,16870000.0,20231
2,2016,17,40,-28,40,68,11,7,20,30.25,6530000.0,1630000.0,26.00,36000000.0,2400000.0,26.23,68400000.0,5260000.0,23.86,59490000.0,4250000.0,/fc-watford/startseite/verein/1010/saison_id/2016,62960000.0,52290000.0,20571
3,2015,13,45,-10,40,50,12,9,17,27.40,7610000.0,1520000.0,26.38,24930000.0,1920000.0,27.36,34790000.0,3160000.0,24.80,31790000.0,3180000.0,/fc-watford/startseite/verein/1010/saison_id/2015,75180000.0,8780000.0,20594
4,2006,20,28,-30,29,59,5,13,20,26.50,1890000.0,473000.0,23.13,5240000.0,350000.0,22.77,4550000.0,350000.0,21.18,5290000.0,481000.0,/fc-watford/startseite/verein/1010/saison_id/2006,9450000.0,12150000.0,18741
