,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,12,49,-2,51,53,14,7,17,29.20,9500000.0,1900000.0,27.30,77540000.0,7750000.0,27.40,55800000.0,11160000.0,27.14,108000000.0,15430000.0,/crystal-palace/startseite/verein/873/saison_id/2018,10670000.0,315000.0,25455
1,2017,11,44,-10,45,55,11,11,16,30.25,5900000.0,1470000.0,25.38,53800000.0,4139999.9999999995,24.58,51120000.0,4260000.0,22.42,64170000.0,5350000.0,/crystal-palace/startseite/verein/873/saison_id/2017,44060000.0,2700000.0,25065
2,2016,14,41,-13,50,63,12,5,21,29.50,12600000.0,3150000.0,24.62,47770000.0,3670000.0,25.00,57830000.0,3860000.0,24.38,75940000.0,5840000.0,/crystal-palace/startseite/verein/873/saison_id/2016,91170000.0,45180000.0,25161
3,2015,15,42,-12,39,51,11,9,18,29.67,4500000.0,1500000.0,26.55,21600000.0,1960000.0,23.92,44100000.0,3680000.0,25.42,38700000.0,3230000.0,/crystal-palace/startseite/verein/873/saison_id/2015,25920000.0,4860000.0,24825
4,2014,10,48,-4,47,51,13,9,16,28.00,3600000.0,900000.0,26.55,21600000.0,1960000.0,24.15,25650000.0,1970000.0,26.71,29520000.0,2110000.0,/crystal-palace/startseite/verein/873/saison_id/2014,28150000.0,2580000.0,24412
5,2013,11,45,-15,33,48,13,6,19,28.40,4500000.0,900000.0,24.73,13280000.0,885000.0,23.82,17780000.0,1620000.0,27.00,22500000.0,1610000.0,/crystal-palace/startseite/verein/873/saison_id/2013,29700000.0,0.0,24114
