,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,18,34,-35,34,69,10,4,24,31.33,10580000.0,3530000.0,30.00,16200000.0,2029999.9999999998,26.13,31500000.0,3940000.0,26.55,34880000.0,3170000.0,/cardiff-city/startseite/verein/603/saison_id/2018,46080000.0,0.0,31408
1,2013,20,30,-42,32,74,7,9,22,25.33,1710000.0,570000.0,23.38,23360000.0,1800000.0,24.67,18090000.0,2009999.9999999998,24.71,40230000.0,2370000.0,/cardiff-city/startseite/verein/603/saison_id/2013,41230000.0,3370000.0,27430
