,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2016,18,34,-43,37,80,9,7,22,29.00,4820000.0,963000.0,24.46,34740000.0,2670000.0,24.54,30150000.0,2320000.0,24.45,49950000.0,4540000.0,/hull-city/startseite/verein/3008/saison_id/2016,36000000.0,26010000.0,20656
1,2014,18,35,-18,33,51,8,11,19,28.40,2610000.0,522000.0,26.00,25070000.0,2089999.9999999998,25.67,40050000.0,4450000.0,25.22,42300000.0,4700000.0,/hull-city/startseite/verein/3008/saison_id/2014,43410000.0,16830000.0,23557
2,2013,16,37,-15,38,53,10,7,21,30.00,4640000.0,1160000.0,26.70,14400000.0,1440000.0,25.13,15300000.0,1910000.0,25.25,28580000.0,2380000.0,/hull-city/startseite/verein/3008/saison_id/2013,27990000.0,792000.0,24117
3,2009,19,30,-41,34,75,6,12,20,30.67,3780000.0,1260000.0,24.78,16160000.0,1800000.0,26.53,26370000.0,1760000.0,24.70,21780000.0,2180000.0,/hull-city/startseite/verein/3008/saison_id/2009,13370000.0,14580000.0,24390
4,2008,17,35,-25,39,64,8,11,19,29.67,1310000.0,435000.0,24.10,10190000.0,1020000.0,27.00,19690000.0,1510000.0,28.78,13700000.0,1520000.0,/hull-city/startseite/verein/3008/saison_id/2008,16149999.999999998,0.0,24816
