,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2012,18,36,-26,47,73,9,9,20,27.75,6750000.0,1690000.0,25.79,28350000.0,2029999.9999999998,24.33,17640000.0,1960000.0,22.60,20610000.0,2060000.0,/wigan-athletic/startseite/verein/1071/saison_id/2012,9480000.0,11930000.0,19359
1,2011,15,43,-20,42,62,11,10,17,29.00,5670000.0,1420000.0,26.40,22500000.0,2250000.0,24.22,19350000.0,2150000.0,22.71,15480000.0,2210000.0,/wigan-athletic/startseite/verein/1071/saison_id/2011,11140000.0,10160000.0,18634
2,2010,16,42,-21,40,61,9,15,14,28.00,5850000.0,1460000.0,24.42,20030000.0,1670000.0,22.40,13950000.0,1400000.0,23.56,25070000.0,2790000.0,/wigan-athletic/startseite/verein/1071/saison_id/2010,10260000.0,3060000.0,16807
3,2009,16,36,-42,37,79,9,9,20,27.40,6480000.0,1300000.0,27.20,23810000.0,2380000.0,24.25,15030000.0,1250000.0,23.11,21200000.0,2360000.0,/wigan-athletic/startseite/verein/1071/saison_id/2009,16590000.0,23380000.0,18006
4,2008,11,45,-11,34,45,12,9,17,31.75,4860000.0,1220000.0,26.50,17780000.0,2220000.0,23.80,21200000.0,1410000.0,24.50,27360000.0,3420000.0,/wigan-athletic/startseite/verein/1071/saison_id/2008,21690000.0,21780000.0,18350
5,2007,14,40,-17,34,51,10,10,18,28.00,3690000.0,923000.0,25.08,24860000.0,2069999.9999999998,25.50,18500000.0,1540000.0,26.14,21380000.0,3050000.0,/wigan-athletic/startseite/verein/1071/saison_id/2007,16110000.0,16040000.0,19046
6,2006,17,38,-22,37,59,10,8,20,31.75,4230000.0,1060000.0,26.50,22740000.0,1620000.0,24.00,16090000.0,1460000.0,25.63,16830000.0,2100000.0,/wigan-athletic/startseite/verein/1071/saison_id/2006,23090000.0,21890000.0,18159
7,2005,10,51,-7,45,52,15,6,17,35.00,675000.0,225000.0,27.00,11610000.0,1060000.0,26.00,11480000.0,1280000.0,26.20,8820000.0,1760000.0,/wigan-athletic/startseite/verein/1071/saison_id/2005,14190000.0,5060000.0,20608
