,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,16,39,-20,45,65,9,12,17,26.75,20790000.0,5200000.0,25.00,72000000.0,9000000.0,25.88,63000000.0,7880000.0,24.88,63900000.0,7990000.0,/fc-southampton/startseite/verein/180/saison_id/2018,56030000.0,21420000.0,30139
1,2017,17,36,-19,37,56,7,15,16,30.67,16430000.0,5480000.0,24.30,79880000.0,7990000.0,24.17,42750000.0,7130000.0,23.90,83700000.0,8369999.999999999,/fc-southampton/startseite/verein/180/saison_id/2017,55130000.0,88520000.0,30794
2,2016,8,46,-7,41,48,12,10,16,25.33,19580000.0,3260000.0,25.42,60080000.0,5010000.0,23.14,36450000.0,5210000.0,23.27,76730000.0,6980000.0,/fc-southampton/startseite/verein/180/saison_id/2016,62010000.0,76550000.0,30936
3,2015,6,63,18,59,41,18,9,11,30.00,13280000.0,3320000.0,23.15,43880000.0,3380000.0,23.57,42080000.0,6010000.0,23.18,69530000.0,6320000.0,/fc-southampton/startseite/verein/180/saison_id/2015,54090000.0,47430000.0,30751
4,2014,7,60,21,54,33,18,6,14,29.75,7430000.0,1860000.0,23.45,33439999.999999996,3040000.0,21.73,47250000.0,4300000.0,23.18,47250000.0,4300000.0,/fc-southampton/startseite/verein/180/saison_id/2014,86440000.0,111450000.0,30652
5,2013,8,56,8,54,46,15,11,12,27.50,4730000.0,1180000.0,21.75,24980000.0,2080000.0,23.44,31950000.0,3550000.0,23.00,30600000.0,3060000.0,/fc-southampton/startseite/verein/180/saison_id/2013,35640000.0,3780000.0,30212
6,2012,14,41,-11,49,60,9,14,15,28.00,3870000.0,968000.0,24.00,12350000.0,1030000.0,22.86,26280000.0,1880000.0,23.20,19580000.0,1960000.0,/fc-southampton/startseite/verein/180/saison_id/2012,37350000.0,0.0,30855
