,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2016,19,28,-26,27,53,5,13,20,30.40,6530000.0,1310000.0,24.82,27680000.0,2520000.0,26.22,24080000.0,2680000.0,25.90,51300000.0,5130000.0,/fc-middlesbrough/startseite/verein/641/saison_id/2016,43160000.0,12150000.0,30449
1,2008,19,32,-29,28,57,7,11,20,22.00,990000.0,330000.0,21.54,17010000.0,1310000.0,22.71,19800000.0,2830000.0,23.00,34110000.0,3410000.0,/fc-middlesbrough/startseite/verein/641/saison_id/2008,11520000.0,7850000.0,28429
2,2007,13,42,-10,43,53,10,12,16,27.00,4059999.9999999995,1350000.0,22.25,29260000.0,2440000.0,24.78,27270000.0,3030000.0,22.80,38570000.0,3860000.0,/fc-middlesbrough/startseite/verein/641/saison_id/2007,45540000.0,27200000.0,26708
3,2006,12,46,-5,44,49,12,10,16,24.25,3780000.0,945000.0,22.64,25470000.0,1820000.0,23.38,27590000.0,3450000.0,24.33,28980000.0,3220000.0,/fc-middlesbrough/startseite/verein/641/saison_id/2006,10170000.0,4210000.0,27730
4,2005,14,45,-10,48,58,12,9,17,23.25,4099999.9999999995,1020000.0,24.73,25490000.0,1700000.0,23.80,30200000.0,3020000.0,24.30,38880000.0,3890000.0,/fc-middlesbrough/startseite/verein/641/saison_id/2005,12560000.0,0.0,28463
