,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2011,18,36,-31,46,77,10,6,22,24.50,4050000.0,1010000.0,25.00,30870000.0,2210000.0,23.78,26730000.0,2970000.0,26.00,26690000.0,2430000.0,/bolton-wanderers/startseite/verein/355/saison_id/2011,14040000.0,14700000.0,23670
1,2010,14,46,-4,52,56,12,10,16,26.25,5220000.0,1310000.0,26.90,28350000.0,2840000.0,24.22,24530000.0,2730000.0,24.73,25970000.0,2360000.0,/bolton-wanderers/startseite/verein/355/saison_id/2010,4860000.0,1260000.0,22807
2,2009,14,39,-25,42,67,10,9,19,27.33,5360000.0,1790000.0,26.55,28170000.0,2560000.0,24.20,26620000.0,2660000.0,24.25,16649999.999999998,2080000.0,/bolton-wanderers/startseite/verein/355/saison_id/2009,10800000.0,1800000.0,22200
3,2008,13,41,-12,41,53,11,8,19,28.75,6030000.0,1510000.0,24.00,26510000.0,2410000.0,23.78,21290000.0,2370000.0,25.33,28710000.0,3190000.0,/bolton-wanderers/startseite/verein/355/saison_id/2008,21330000.0,9790000.0,22486
4,2007,16,37,-18,36,54,9,10,19,27.75,6280000.0,1570000.0,23.83,19440000.0,1620000.0,24.64,23360000.0,1670000.0,25.73,33750000.0,3070000.0,/bolton-wanderers/startseite/verein/355/saison_id/2007,20120000.0,19770000.0,20901
5,2006,7,56,-5,47,52,16,8,14,24.33,6770000.0,1130000.0,22.08,13610000.0,1050000.0,28.86,13730000.0,1960000.0,25.13,21830000.0,2730000.0,/bolton-wanderers/startseite/verein/355/saison_id/2006,15300000.0,3470000.0,23606
6,2005,8,56,8,49,41,15,11,12,24.60,7650000.0,1530000.0,25.11,8640000.0,960000.0,25.71,26780000.0,3830000.0,27.00,22100000.0,2460000.0,/bolton-wanderers/startseite/verein/355/saison_id/2005,5580000.0,0.0,25265
