,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2017,18,33,-28,28,56,8,9,21,29.33,11700000.0,3900000.0,25.78,28580000.0,3180000.0,24.69,57370000.0,4410000.0,24.45,56570000.0,5140000.0,/swansea-city/startseite/verein/2288/saison_id/2017,66050000.0,72990000.0,20622
1,2016,15,41,-25,45,70,12,5,21,30.00,9230000.0,2310000.0,25.33,32220000.0,2690000.0,25.63,37980000.0,4750000.0,25.23,43970000.0,3380000.0,/swansea-city/startseite/verein/2288/saison_id/2016,52380000.0,43740000.0,20619
2,2015,12,47,-10,42,52,12,11,15,27.75,6750000.0,1690000.0,24.00,32850000.0,2530000.0,24.63,41580000.0,5200000.0,24.91,43200000.0,3930000.0,/swansea-city/startseite/verein/2288/saison_id/2015,19630000.0,15120000.0,20711
3,2014,8,56,-3,46,49,16,8,14,29.00,2790000.0,930000.0,24.62,27410000.0,2110000.0,22.40,27680000.0,2770000.0,24.20,39060000.0,3910000.0,/swansea-city/startseite/verein/2288/saison_id/2014,37380000.0,55700000.0,20555
4,2013,12,42,0,54,54,11,9,18,25.50,8390000.0,2100000.0,25.42,22730000.0,1890000.0,22.67,26620000.0,2960000.0,25.18,49050000.0,4460000.0,/swansea-city/startseite/verein/2288/saison_id/2013,24040000.0,0.0,20407
5,2012,9,46,-4,47,51,11,13,14,27.33,8330000.0,2780000.0,24.42,16880000.0,1410000.0,25.67,13050000.0,2180000.0,25.33,41400000.0,3450000.0,/swansea-city/startseite/verein/2288/saison_id/2012,18420000.0,29340000.0,20476
6,2011,11,47,-7,44,51,12,11,15,29.33,6930000.0,2310000.0,23.85,6120000.0,471000.0,24.10,14270000.0,1430000.0,24.13,9230000.0,1150000.0,/swansea-city/startseite/verein/2288/saison_id/2011,11570000.0,410000.0,19946
