,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2014,20,30,-31,42,73,8,6,24,29.67,3600000.0,1200000.0,25.21,25830000.0,1850000.0,23.79,39200000.0,2800000.0,25.20,34920000.0,3490000.0,/queens-park-rangers/startseite/verein/1039/saison_id/2014,39180000.0,23440000.0,17809
1,2012,20,25,-30,30,60,4,13,21,32.75,17100000.0,4280000.0,26.31,35640000.0,2740000.0,27.20,44100000.0,4410000.0,27.91,47250000.0,4300000.0,/queens-park-rangers/startseite/verein/1039/saison_id/2012,45320000.0,4059999.9999999995,17779
2,2011,17,37,-23,43,66,10,7,21,29.50,2750000.0,686000.0,26.60,31010000.0,2069999.9999999998,26.50,18920000.0,1580000.0,26.18,42840000.0,2520000.0,/queens-park-rangers/startseite/verein/1039/saison_id/2011,23600000.0,2520000.0,17295
