,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,15,40,-23,45,68,11,7,20,31.80,17780000.0,3560000.0,28.75,50400000.0,6300000.0,28.80,40500000.0,8100000.0,28.63,63900000.0,7990000.0,/fc-burnley/startseite/verein/1132/saison_id/2018,29700000.0,7200000.0,20534
1,2017,7,54,-3,36,39,14,12,12,29.75,5400000.0,1350000.0,27.29,17100000.0,2440000.0,26.44,32270000.000000004,3590000.0,25.60,32400000.0,3240000.0,/fc-burnley/startseite/verein/1132/saison_id/2017,32170000.0,45000000.0,20688
2,2016,16,40,-16,39,55,11,7,20,30.00,3110000.0,1040000.0,25.00,17640000.0,1760000.0,26.91,27230000.0,2480000.0,23.92,25650000.0,2140000.0,/fc-burnley/startseite/verein/1132/saison_id/2016,41040000.0,1080000.0,20558
3,2014,19,33,-25,28,53,7,12,19,28.33,1850000.0,615000.0,25.73,8460000.0,769000.0,26.00,12420000.0,1380000.0,23.43,10350000.0,1480000.0,/fc-burnley/startseite/verein/1132/saison_id/2014,11360000.0,0.0,19131
4,2009,18,30,-40,42,82,8,6,24,29.67,2520000.0,840000.0,26.85,12780000.0,983000.0,22.00,5360000.0,669000.0,23.56,13950000.0,1550000.0,/fc-burnley/startseite/verein/1132/saison_id/2009,12190000.0,81000.0,20654
