,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2009,20,28,-32,34,66,7,7,24,28.40,4050000.0,810000.0,24.72,32810000.000000004,1820000.0,25.55,29250000.0,2660000.0,25.09,23760000.0,2160000.0,/fc-portsmouth/startseite/verein/1020/saison_id/2009,9500000.0,46850000.0,18249
1,2008,14,41,-19,38,57,10,11,17,28.33,5220000.0,1740000.0,26.77,44100000.0,3390000.0,26.60,37080000.0,3710000.0,26.00,50450000.0,5040000.0,/fc-portsmouth/startseite/verein/1020/saison_id/2008,25380000.0,48740000.0,19830
2,2007,8,57,8,48,40,16,9,13,27.33,4320000.0,1440000.0,26.33,35190000.0,2930000.0,24.36,33439999.999999996,3040000.0,24.00,34290000.0,4290000.0,/fc-portsmouth/startseite/verein/1020/saison_id/2007,52780000.0,21040000.0,19914
3,2006,9,54,3,45,42,14,12,12,31.67,4950000.0,1650000.0,27.89,30740000.0,3420000.0,23.60,23000000.0,2300000.0,26.88,23310000.0,2910000.0,/fc-portsmouth/startseite/verein/1020/saison_id/2006,8189999.999999999,1130000.0,19862
4,2005,17,38,-25,37,62,10,8,20,28.00,4840000.0,968000.0,26.63,17640000.0,2210000.0,25.55,31640000.0,2880000.0,25.17,27630000.0,2300000.0,/fc-portsmouth/startseite/verein/1020/saison_id/2005,14830000.0,8910000.0,19840
