,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2006,19,34,-26,34,60,8,10,20,23.00,4120000.0,824000.0,25.75,23090000.0,1920000.0,24.17,21330000.0,1780000.0,25.00,20900000.0,2610000.0,/charlton-athletic/startseite/verein/358/saison_id/2006,19490000.0,2049999.9999999998,26195
1,2005,13,47,-14,41,55,13,8,17,26.50,4050000.0,1010000.0,24.42,17190000.0,1430000.0,26.57,19260000.0,2750000.0,24.23,26980000.0,2080000.0,/charlton-athletic/startseite/verein/358/saison_id/2005,8189999.999999999,5140000.0,26196
