,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2012,19,28,-30,43,73,6,10,22,24.20,2250000.0,450000.0,25.00,18500000.0,1540000.0,26.83,6750000.0,1130000.0,25.33,12380000.0,1030000.0,/fc-reading/startseite/verein/1032/saison_id/2012,9740000.0,810000.0,23862
1,2007,18,36,-25,41,66,10,6,22,23.80,1530000.0,306000.0,24.59,10960000.0,645000.0,24.30,10400000.0,1040000.0,22.55,12470000.0,1130000.0,/fc-reading/startseite/verein/1032/saison_id/2007,10890000.0,5130000.0,23574
2,2006,8,55,5,52,47,16,7,15,24.00,1040000.0,259000.0,24.13,7310000.0,488000.0,23.89,5670000.0,630000.0,21.89,7340000.0,815000.0,/fc-reading/startseite/verein/1032/saison_id/2006,8300000.000000001,0.0,23829
