,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,7,57,1,47,46,16,9,13,27.50,20930000.0,5230000.0,25.50,65030000.0,8130000.000000001,25.20,77400000.0,15480000.0,24.13,103500000.0,12940000.0,/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,101030000.0,20750000.0,31025
1,2011,20,25,-42,40,82,5,10,23,26.33,3150000.0,1050000.0,25.00,28800000.0,2620000.0,23.18,20030000.0,1820000.0,23.25,23180000.0,1930000.0,/wolverhampton-wanderers/startseite/verein/543/saison_id/2011,10850000.0,2340000.0,25677
2,2010,17,40,-20,46,66,11,7,20,30.00,4410000.0,1100000.0,22.81,23360000.0,1460000.0,23.30,18950000.0,1890000.0,23.08,22410000.0,1870000.0,/wolverhampton-wanderers/startseite/verein/543/saison_id/2010,18190000.0,5790000.0,27696
3,2009,15,38,-24,32,56,9,11,18,27.50,3870000.0,968000.0,24.47,20120000.0,1340000.0,24.43,12560000.0,1790000.0,22.18,17190000.0,1560000.0,/wolverhampton-wanderers/startseite/verein/543/saison_id/2009,17510000.0,783000.0,28366
