,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2010,18,39,-21,37,58,8,15,15,30.00,3650000.0,1220000.0,26.00,22730000.0,2270000.0,24.73,35010000.0,3180000.0,25.60,31230000.0,3120000.0,/birmingham-city/startseite/verein/337/saison_id/2010,23040000.0,158000.0,25462
1,2009,9,50,-9,38,47,13,11,14,25.50,7740000.0,1940000.0,26.36,11570000.0,1050000.0,25.50,19620000.0,1640000.0,24.56,18230000.0,2029999.9999999998,/birmingham-city/startseite/verein/337/saison_id/2009,18050000.0,360000.0,25246
2,2007,19,35,-16,46,62,8,11,19,26.50,2930000.0,731000.0,23.91,21380000.0,1940000.0,23.22,17420000.0,1940000.0,22.56,24170000.0,2690000.0,/birmingham-city/startseite/verein/337/saison_id/2007,26370000.0,7630000.0,26181
3,2005,18,34,-22,28,50,8,10,20,29.33,2970000.0,990000.0,24.58,21420000.0,1790000.0,25.20,23510000.0,2350000.0,26.00,37940000.0,4740000.0,/birmingham-city/startseite/verein/337/saison_id/2005,7290000.0,7160000.0,27392
