year,Rank,name,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link
2006,5,tottenham hotspur,60,3,57,54,17,9,12,"24,20",£9.23m,£1.85m,"23,15",£40.48m,£3.11m,"23,64",£51.44m,£4.68m,"21,44",£49.07m,£5.45m,/tottenham-hotspur/startseite/verein/148/saison_id/2006
2006,6,everton,58,16,52,36,15,13,10,"25,67",£3.39m,£1.13m,"27,09",£28.67m,£2.61m,"25,10",£31.68m,£3.17m,"22,83",£27.41m,£4.57m,/fc-everton/startseite/verein/29/saison_id/2006
2006,7,bolton wanderers,56,-5,47,52,16,8,14,"24,33",£6.77m,£1.13m,"22,08",£13.61m,£1.05m,"28,86",£13.73m,£1.96m,"25,13",£21.83m,£2.73m,/bolton-wanderers/startseite/verein/355/saison_id/2006
2006,8,reading,55,5,52,47,16,7,15,"24,00",£1.04m,£259k,"24,13",£7.31m,£488k,"23,89",£5.67m,£630k,"21,89",£7.34m,£815k,/fc-reading/startseite/verein/1032/saison_id/2006
2006,9,portsmouth,54,3,45,42,14,12,12,"31,67",£4.95m,£1.65m,"27,89",£30.74m,£3.42m,"23,60",£23.00m,£2.30m,"26,88",£23.31m,£2.91m,/fc-portsmouth/startseite/verein/1020/saison_id/2006
2006,10,blackburn rovers,52,-2,52,54,15,7,16,"29,33",£3.24m,£1.08m,"26,14",£23.36m,£1.67m,"25,50",£21.74m,£2.72m,"26,50",£18.36m,£3.06m,/blackburn-rovers/startseite/verein/164/saison_id/2006
2006,11,aston villa,50,2,43,41,11,17,10,"26,00",£9.00m,£2.25m,"24,67",£22.52m,£2.50m,"24,77",£30.83m,£2.37m,"25,38",£28.71m,£3.59m,/aston-villa/startseite/verein/405/saison_id/2006
2006,12,middlesbrough,46,-5,44,49,12,10,16,"24,25",£3.78m,£945k,"22,64",£25.47m,£1.82m,"23,38",£27.59m,£3.45m,"24,33",£28.98m,£3.22m,/fc-middlesbrough/startseite/verein/641/saison_id/2006
2006,13,newcastle united,43,-9,38,47,11,10,17,"27,00",£9.50m,£1.90m,"24,27",£24.75m,£2.25m,"24,91",£59.36m,£5.40m,"22,50",£53.42m,£6.68m,/newcastle-united/startseite/verein/762/saison_id/2006
2006,14,manchester city,42,-15,29,44,11,9,18,"23,33",£6.84m,£2.28m,"24,29",£38.93m,£2.78m,"25,50",£18.18m,£3.03m,"25,00",£22.82m,£2.54m,/manchester-city/startseite/verein/281/saison_id/2006
2006,15,west ham united,41,-24,35,59,12,5,21,"28,67",£7.47m,£2.49m,"24,75",£21.74m,£1.81m,"24,09",£26.84m,£2.44m,"24,78",£39.20m,£4.36m,/west-ham-united/startseite/verein/379/saison_id/2006
