,year,Rank,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link,bought,sold,attendance
0,2018,9,52,3,51,48,15,7,16,30.67,18680000.0,6230000.0,27.89,129380000.0,14380000.0,23.70,143100000.0,14310000.0,26.14,58050000.0,8289999.999999999,/leicester-city/startseite/verein/1003/saison_id/2018,103140000.0,86220000.0,31851
1,2017,9,47,-4,56,60,12,11,15,30.33,10350000.0,3450000.0,26.50,38250000.0,3830000.0,24.20,66470000.0,6650000.0,24.55,111830000.0,10170000.0,/leicester-city/startseite/verein/1003/saison_id/2017,79060000.0,43110000.0,31583
2,2016,12,44,-15,48,63,12,8,18,28.00,12150000.0,4050000.0,27.70,23850000.0,2390000.0,22.70,35100000.0,3510000.0,25.75,86400000.0,10800000.0,/leicester-city/startseite/verein/1003/saison_id/2016,82440000.0,59450000.0,31893
3,2015,1,81,32,68,36,23,12,3,29.25,4280000.0,1070000.0,28.10,17550000.0,1760000.0,25.33,25650000.0,2850000.0,23.25,34650000.0,2890000.0,/leicester-city/startseite/verein/1003/saison_id/2015,44910000.0,8510000.0,32021
4,2014,14,41,-9,46,55,11,8,19,28.60,4860000.0,972000.0,28.20,14760000.0,1480000.0,24.36,14130000.0,1280000.0,24.18,16520000.0,1500000.0,/leicester-city/startseite/verein/1003/saison_id/2014,20570000.0,0.0,31693
